net_type,province,city_name,area_name,area_code,msc_name,msc_id,sign_point_code,scp_vc_id,number_reply_code,remark,start_time
,湖北,武汉,全省,27,武汉WLANRZ,13740711,17-251-164,,jsj-12033,仅在信令网制作该MSCID的GT数据无语音业务,2012/6/11 13:37
,上海,上海,上海,21,上海LBS,13741195,11-255-109,,jsj-12033,,2012/6/11 13:38
,山东,莱芜,,634,莱芜G2,13741634,10-255-234,,200905,200911汇总_端局,2009/11/11 16:17
,山东,德州,,534,德州G4,13900534,10-255-109,,200905,200911汇总_端局,2009/11/11 16:17
,山东,泰安,,538,泰安G4,13743548,10-255-164,,200905,200911汇总_端局,2009/11/11 16:17
,山东,泰安,,538,泰安G3,13741538,10-255-163,,200905,200911汇总_端局,2009/11/11 16:17
,山东,德州,,534,德州G1,13742534,10-255-108,,200905,200911汇总_端局,2009/11/11 16:17
,上海,,,,SCP5,13740193,11-255-83,285,200905,t,2006/3/27 15:40
,四川,,,,SCP2－4,13740816,22-254-16,551,200905,t,2006/3/27 15:40
,天津,,,,TJSCP1-1,13740203,2-255-43,121,200905,t,2006/3/27 15:40
,新疆,,,,XJSCP1,13741991,30-255-252,701,200905,t,2006/3/27 15:40
,安徽,,,,SCP1,13740551,12-255-229,401,200905,t,2006/3/27 15:40
,北京,,,,bjscp9,13740137,01ffd9,109,200905,t,2006/3/27 15:40
,云南,,,,云南SCP3,13741882,18-FF-3B,584,200905,t,2006/3/27 15:40
,浙江,,,,HZSCP2,13900655,13-255-15,302,200905,t,2006/3/27 15:40
,福建,,,,FZSCP3(SCP1D:346),13740507,0effa6,346,200905,t,2006/3/27 15:40
,福建,,,,FZSCP3(SCP1D:346),13740508,0effa9,346,200905,t,2006/3/27 15:40
,甘肃,,,,LZSCP1,13900947,1B-FF-2C,641,200905,t,2006/3/27 15:40
,广东,,,,GZSCP5,13741240,13-FE-66,499,200905,t,2006/3/27 15:40
,海南,,,,hkscp1,13900758,21-255-60,521,200905,t,2006/3/27 15:40
,河北,,,,CCSCP1,13741336,3-255-47,163,200905,t,2006/3/27 15:40
,河北,,,,CCSCP1,13741333,3-255-31,163,200905,t,2006/3/27 15:40
,河北,,,,CCSCP1,13741335,3-255-39,163,200905,t,2006/3/27 15:40
,河南,,,,zzscp6,13741376,16-255-19,465,200905,t,2006/3/27 15:40
,黑龙江,,,,HBSCP3(263),13900481,8-255-8,263,200905,t,2006/3/27 15:40
,湖北,,,,湖北SCP3,13900710,11FF0E,423,200905,t,2006/3/27 15:40
,湖南,,,,SCP1,13740748,18-255-235,441,200905,t,2006/3/27 15:40
,吉林,,,,CCSCP1,13740441,07FF07,241,200905,t,2006/3/27 15:40
,辽宁,,,,SYSCP2-1,13740404,06FE1F,222,200905,t,2006/3/27 15:40
,辽宁,,,,SYSCP2-2,13740405,06FE27,222,200905,t,2006/3/27 15:40
,内蒙古,,,,SCP02,13741473,05FF61,182,200905,t,2006/3/27 15:40
,山东,,,,JNSCP1,13741544,10-255-7,381,200905,t,2006/3/27 15:40
,山西,,,,太原SCP1,13900344,04-255-06,141,200905,t,2006/3/27 15:40
,山东,退网,,543,滨州G3,13742543,10-255-195,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,534,德州G3,13741534,10-255-107,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,546,东营D1,13742535,10-254-195,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,546,东营D2,13742536,10-254-196,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,530,荷泽G5,13741644,10-255-189,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,530,菏泽D1,13741530,10-254-155,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,530,菏泽D2,13742530,10-254-156,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,537,济宁D1,13740537,10-255-146,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,537,济宁D2,13740547,10-255-147,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,537,济宁G6,13742547,10-255-154,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,635,聊城D1,13742537,10-254-171,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,635,聊城D2,13742538,10-254-172,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,539,临沂D1,13740549,10-255-171,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,539,临沂D2,13740649,10-255-172,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,532,青岛D1,13740548,10-255-11510-254-38,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,532,青岛D2,13740637,10-255-14810-254-36,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,532,青岛G14,13742649,10-254-59,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,532,青岛G3,13742542,10-255-43,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,532,青岛G4,13741639,10-255-44,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,631,威海D1,13742539,10-254-187,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,631,威海D2,13742540,10-254-188,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,631,威海G5,13740630,10-255-212,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,536,潍坊D1,13740636,10-255-137,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,536,潍坊D2,13740646,10-255-138,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,536,潍坊G11,13745536,10-255-143,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,536,潍坊G4,13740536,10-255-142,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,536,潍坊G8,13742636,10-255-134,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,535,烟台G8,13900645,10-254-75,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,535,烟台G9,13900535,10-254-76,,200905,JSJ-09065_ceshi,2009/11/17 10:19
,山东,退网,,533,淄博D1,13740643,10-255-91,,200905,JSJ-09065_ceshi,2009/11/17 10:19
